,article_title,article_volume,article_issue,article_date,article_citations,article_attention,article_tweets,article_views
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Transcription control by the ENL YEATS domain in acute leukaemia,543,7644,2017-03-01,1,9,88,2888
0,Structural basis of cohesin cleavage by separase,532,7597,2016-03-30,2,9,19,15764
0,Nucleotide excision repair is impaired by binding of transcription factors to DNA,532,7598,2016-04-13,8,5,194,14642
0,USP14 deubiquitinates proteasome bound substrates that are ubiquitinated at multiple sites,532,7599,2016-04-13,7,6,10,8995
0,Crystal structure of the human  1 receptor,532,7600,2016-04-04,3,5,30,13166
0,Efficient introduction of specific homozygous and heterozygous mutations using CRISPR Cas9,533,7601,2016-04-27,9,8,133,57737
0,Extra helical binding site of a glucagon receptor antagonist,533,7602,2016-04-25,3,8,134,12069
0,Structure of the thermally stable Zika virus,533,7603,2016-04-19,5,8,100,77445
0,Crystal structure of the human sterol transporter ABCG5 ABCG8,533,7604,2016-05-04,5,8,38,10537
0,Diverse roles of assembly factors revealed by structures of late nuclear pre 60S             ribosomes,534,7605,2016-05-25,8,3,17,10472
0,Charge density analysis of an iron sulfur protein at an ultra high resolution of 0 48  ,534,7606,2016-05-18,3,4,56,9529
0,Structural basis for amino acid export by DMT superfamily transporter YddG,534,7607,2016-05-30,0,4,36,5480
0,Structural basis of N6 adenosine methylation by the METTL3 METTL14 complex,534,7608,2016-05-25,4,8,29,35678
0,Cryo EM structure of a human cytoplasmic actomyosin complex at near atomic resolution,534,7609,2016-06-20,1,9,92,19429
0,Ki 67 acts as a biological surfactant to disperse mitotic chromosomes,535,7611,2016-06-29,9,7,316,22357
0,Allosteric coupling from G protein to the agonist binding pocket in GPCRs,535,7610,2016-06-29,6,5,29,13707
0,TTC39B deficiency stabilizes LXR reducing both atherosclerosis and steatohepatitis,535,7611,2016-07-06,3,4,42,8828
0,Early myeloid lineage choice is not initiated by random PU 1 to GATA1 protein ratios,535,7611,2016-07-13,7,6,55,6954
0,Cloche is a bHLH PAS transcription factor that drives haemato vascular specification,535,7611,2016-07-13,5,5,84,12726
0,Resolving early mesoderm diversification through single cell expression profiling,535,7611,2016-07-06,8,6,76,21780
0,Dissociated functional significance of decision related activity in the primate dorsal stream,535,7611,2016-07-04,9,9,237,8293
0,Mid ocean ridge seismicity reveals extreme types of ocean lithosphere,535,7611,2016-06-29,4,6,52,5017
0,Molecular logic behind the three way stochastic choices that expand butterfly colour vision,535,7611,2016-07-06,5,8,94,7241
0,Self assembly of graphene ribbons by spontaneous self tearing and peeling from a substrate,535,7611,2016-07-13,5,7,98,11875
0,Transport evidence for Fermi arc mediated chirality transfer in the Dirac semimetal Cd3As2,535,7611,2016-07-04,8,5,14,7797
0,A sensitive electrometer based on a Rydberg atom in a Schr dinger cat state,535,7611,2016-07-13,3,8,108,3246
0,Imaging the water snow line during a protostellar outburst,535,7611,2016-07-13,1,5,61,2533
0,The nature of mutations induced by replication transcription collisions,535,7610,2016-06-29,4,7,43,8426
0,A core viral protein binds host nucleosomes to sequester immune danger signals,535,7610,2016-06-29,2,5,62,20943
0,Toremifene interacts with and destabilizes the Ebola virus glycoprotein,535,7610,2016-06-29,6,9,290,6488
0,Inflammasome activated gasdermin D causes pyroptosis by forming membrane pores,535,7610,2016-07-06,7,7,48,12049
0,A CRISPR screen defines a signal peptide processing pathway required by flaviviruses,535,7610,2016-06-17,9,9,100,19275
0,Genetic dissection of Flaviviridae host factors through genome scale CRISPR screens,535,7610,2016-06-17,6,7,93,23803
0,Allosteric inhibition of SHP2 phosphatase inhibits cancers driven by receptor tyrosine kinases,535,7610,2016-06-29,3,7,86,25943
0,Anthropogenic disturbance in tropical forests can double biodiversity loss from deforestation,535,7610,2016-06-29,9,5,435,8227
0,Subduction controls the distribution and fragmentation of Earth s tectonic plates,535,7610,2016-06-15,2,7,65,7307
0,Design of a hyperstable 60 subunit protein icosahedron,535,7610,2016-06-15,6,8,265,11515
0,Lanthanum catalysed synthesis of microporous 3D graphene like carbons in a zeolite template,535,7610,2016-06-29,6,2,47,43608
0,Photodissociation of ultracold diatomic strontium molecules with quantum state control,534,7610,2016-07-06,4,6,24,3602
0,The quiescent intracluster medium in the core of the Perseus cluster,535,7610,2016-07-06,2,8,149,7049
0,Translation readthrough mitigation,534,7609,2016-06-01,2,6,67,9541
0,Single molecule strong coupling at room temperature in plasmonic nanocavities,535,7610,2016-06-13,3,7,29,12169
0,H4K20me0 marks post replicative chromatin and recruits the TONSL MMS22L DNA repair complex,534,7609,2016-06-22,6,5,53,11544
0,Mitochondrial unfolded protein response controls matrix pre RNA processing and translation,534,7609,2016-06-22,4,3,35,11600
0,Widespread transmission of independent cancer lineages within multiple bivalve species,534,7609,2016-06-22,2,7,260,9914
0,Host mediated sugar oxidation promotes post antibiotic pathogen expansion,534,7609,2016-06-15,6,8,89,7862
0,Rates and mechanisms of bacterial mutagenesis from maximum depth sequencing,534,7609,2016-06-22,4,6,97,9168
0,Basal forebrain projections to the lateral habenula modulate aggression reward,534,7609,2016-06-29,6,5,83,14971
0,Coordinating cardiomyocyte interactions to direct ventricular chamber morphogenesis,534,7609,2016-06-29,2,4,38,4850
0,Interdisciplinary research has consistently lower funding success,534,7609,2016-06-29,9,2,1371,11592
0,Seasonality of temperate forest photosynthesis and daytime respiration,534,7609,2016-06-29,8,5,92,4954
0,Switching stiction and adhesion of a liquid on a solid,534,7609,2015-06-29,3,4,10,5942
0,Synthetic Landau levels for photons,534,7609,2016-06-08,1,9,23,6770
0,Tunable two dimensional arrays of single Rydberg atoms for realizing quantum Ising models,534,7609,2016-06-01,4,6,10,4678
0,A hot Jupiter orbiting a 2 million year old solar mass T Tauri star,534,7609,2016-06-20,8,8,51,3192
0,Proteome wide covalent ligand discovery in native biological systems,534,7608,2016-06-15,4,9,71,25848
0,A Neptune sized transiting planet closely orbiting a 5 10 million year old star,534,7609,2016-06-20,1,8,45,2719
0,Structure of IZUMO1 JUNO reveals sperm oocyte recognition during mammalian fertilization,534,7608,2016-06-15,3,9,79,15133
0,Molecular architecture of the human sperm IZUMO1 and egg JUNO fertilization complex,534,7608,2016-06-15,5,6,38,14565
0,Rocaglates convert DEAD box protein eIF4A into a sequence selective translational repressor,534,7608,2016-06-15,6,4,29,14027
0,AMPK SKP2 CARM1 signalling cascade in transcriptional regulation of autophagy,534,7608,2016-06-15,4,8,28,27576
0,Hemi fused structure mediates and controls fusion and fission in live cells,534,7608,2016-06-15,5,6,17,7868
0,A complement microglial axis drives synapse loss during virus induced memory impairment,534,7608,2016-06-22,5,3,64,4803
0,The bacteriophage  29 tail possesses a pore forming loop for cell membrane penetration,534,7608,2016-06-15,3,8,95,11088
0,Controlled fragmentation of multimaterial fibres and films via polymer cold drawing,534,7608,2016-06-06,4,3,16,8056
0,Negative capacitance in multidomain ferroelectric superlattices,534,7608,2016-06-13,5,2,11,6404
0,Abiological catalysis by artificial haem proteins containing noble metals in place of iron,534,7608,2016-06-13,9,5,37,10733
0,Solid state harmonics beyond the atomic limit,534,7608,2016-06-06,6,8,13,3924
0,Real time dynamics of lattice gauge theories with a few qubit quantum computer,534,7608,2016-06-22,7,9,55,6048
0,The first gravitational wave source from the isolated evolution of two stars in the 40 100 solar mass range,534,7608,2016-06-22,8,8,122,4417
0,The bacterial DnaA trio replication origin element specifies single stranded DNA initiator binding,534,7607,2016-06-08,4,9,96,5030
