,article_title,article_volume,article_issue,article_date,article_citations,article_attention,article_tweets,article_views
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,TIRR regulates 53BP1 by masking its histone methyl lysine binding function,543,7644,2017-02-27,0,8,31,3626
0,Structural basis of potent Zika dengue virus antibody cross neutralization,536,7614,2016-06-23,5,7,291,70657
0,An evolutionarily conserved pathway controls proteasome homeostasis,536,7615,2016-07-27,3,5,24,20908
0,Capturing a substrate in an activated RING E3 E2 SUMO complex,536,7616,2016-08-10,2,7,49,12049
0,Molecular basis of APC C regulation by the spindle assembly checkpoint,536,7617,2016-08-10,7,4,33,10834
0,Tumour hypoxia causes DNA hypermethylation by reducing TET activity,537,7618,2016-08-17,5,8,42,34657
0,Structural basis for the antifolding activity of a molecular chaperone,537,7619,2016-08-08,2,6,78,16833
0,m6A RNA methylation promotes XIST mediated transcriptional repression,537,7620,2016-09-07,6,6,120,17787
0,High throughput discovery of novel developmental phenotypes,537,7621,2016-09-14,6,9,308,37983
0,The architecture of respiratory supercomplexes,537,7622,2016-09-21,6,8,56,20311
0,X ray structures define human P2X3 receptor gating cycle and antagonist action,538,7623,2016-09-14,2,8,115,20514
0,A genomic history of Aboriginal Australia,538,7624,2016-09-21,2,8,441,32390
0,Frizzled proteins are colonic epithelial receptors for C  difficile toxin B,538,7625,2016-09-28,5,9,74,37342
0,The MCL1 inhibitor S63845 is tolerable and effective in diverse cancer models,538,7626,2016-10-19,9,5,56,38828
0,Defining synonymous codon compression schemes by genome recoding,539,7627,2016-10-24,4,9,44,9812
0,Balancing selection shapes density dependent foraging behaviour,539,7628,2016-10-31,1,9,97,6417
0,Transplanted embryonic neurons integrate into adult neocortical circuits,539,7628,2016-10-26,5,6,573,41659
0,The stem osteichthyan Andreolepis and the origin of tooth replacement,539,7628,2016-10-17,1,9,39,5947
0,Evolution of Osteocrin as an activity regulated factor in the primate brain,539,7628,2016-11-09,1,6,81,9540
0,Break induced telomere synthesis underlies alternative telomere maintenance,539,7627,2016-10-19,3,5,177,15900
0,Arginine phosphorylation marks proteins for degradation by a Clp protease,539,7627,2016-10-06,2,6,79,20696
0,De novo phasing with X ray laser reveals mosquito larvicide BinAB structure,539,7627,2016-09-28,1,2,83,8545
0,Hybrid computing using a neural network with dynamic external memory,538,7626,2016-10-12,3,3,1319,67243
0,Diversity oriented synthesis yields novel multistage antimalarial inhibitors,538,7625,2016-09-07,4,9,189,23939
0,Genome evolution in the allotetraploid frog Xenopus laevis,538,7625,2016-10-19,2,7,298,30004
0,Accurate de novo design of hyperstable constrained peptides,538,7625,2016-09-14,2,8,135,23144
0,The Simons Genome Diversity Project  300 genomes from 142 diverse populations,538,7624,2016-09-21,9,6,301,26400
0,Structural insight into the role of the Ton complex in energy transduction,538,7623,2016-09-21,0,9,20,10795
0,The architecture of the mammalian respirasome,537,7622,2016-09-21,7,8,105,24978
0,SEDS proteins are a widespread family of bacterial cell wall polymerases,537,7622,2016-08-15,7,8,176,12033
0,Genomic architecture of heterosis for yield traits in rice,537,7622,2016-09-07,2,5,102,19512
0,Perimortem fractures in Lucy suggest mortality from fall out of tall tree,537,7621,2016-08-29,4,8,440,14708
0,Activation mechanism of endothelin ETB receptor by endothelin 1,537,7620,2016-09-05,2,9,150,16497
0,Locus coeruleus and dopaminergic consolidation of everyday memory,537,7620,2016-09-07,6,4,322,21338
0,Cryo EM structure of the spliceosome immediately after branching,537,7619,2016-07-26,3,5,43,15102
0,Structure of the voltage gated calcium channel Cav1 1 at 3 6   resolution,537,7619,2016-08-31,7,7,111,39048
0,Structure based discovery of opioid analgesics with reduced side effects,537,7619,2016-08-17,4,7,496,65723
0,Photocontrol of fluid slugs in liquid crystal polymer microactuators,537,7619,2016-09-07,3,1,107,21260
0,A developmental coordinate of pluripotency among mice  monkeys and humans,537,7618,2016-08-24,6,5,103,41091
0,The antibody aducanumab reduces A  plaques in Alzheimer s disease,537,7618,2016-08-31,6,3,1393,111315
0,Postglacial viability and colonization in North America s ice free corridor,537,7618,2016-08-10,4,9,417,22683
0,Uncovering Earth s virome,536,7617,2016-08-17,5,6,524,23536
0,Genomic insights into the origin of farming in the ancient Near East,536,7617,2016-07-25,4,4,111,10942
0,Early onset of industrial era warming across the oceans and continents,536,7617,2016-08-24,5,8,354,10207
0,Defining the clonal dynamics leading to mouse skin tumour initiation,536,7616,2016-07-08,1,8,43,25255
0,Circadian neuron feedback controls the Drosophila sleep activity profile,536,7616,2016-08-01,6,7,101,8832
0,Analysis of protein coding genetic variation in 60 706 humans,536,7616,2016-08-17,8,9,1163,116008
